rank,model,slug,family,vendor,total,single_choice,multiple_choice,fill_in,free_response,duration,duration_seconds
1,Fable 5,fable-5,Claude,Anthropic,150,40,18,15,77,12:30,750
2,Claude Opus 4.8,claude-opus-4-8,Claude,Anthropic,150,40,18,15,77,18:31,1111
3,GPT-5.5,gpt-5-5,GPT,OpenAI,150,40,18,15,77,20:49,1249
4,Gemini 3.1 Pro,gemini-3-1-pro,Gemini,Google,150,40,18,15,77,17:25,1045
5,Gemini 3.5 Flash,gemini-3-5-flash,Gemini,Google,150,40,18,15,77,4:24,264
6,GPT-5.4 Nano,gpt-5-4-nano,GPT,OpenAI,140,40,15,15,70,6:06,366
7,GPT-5.1,gpt-5-1,GPT,OpenAI,136,40,12,15,69,33:14,1994
8,Composer 2.5 Fast,composer-2-5-fast,Composer,Cursor,130,40,6,15,69,4:14,254
9,Kimi K2.5,kimi-k2-5,Kimi,Moonshot AI,119,35,12,10,62,3:32,212
10,Claude Haiku 4.5,haiku-4-5,Claude,Anthropic,103,40,9,5,49,0:28,28
